.group,daynr,sex,age_group,daynr.sex,daynr.age_group,ethnicityg,ethnicity_wo
1,127,Male,"(1,11]",Male_127,"(1,11]_127",White,White
2,127,Male,"(1,11]",Male_127,"(1,11]_127",Asian,Non-White
3,127,Male,"(1,11]",Male_127,"(1,11]_127",Black,Non-White
4,127,Male,"(1,11]",Male_127,"(1,11]_127",Mixed,Non-White
5,127,Male,"(1,11]",Male_127,"(1,11]_127",Other,Non-White
6,127,Male,"(11,16]",Male_127,"(11,16]_127",White,White
7,127,Male,"(11,16]",Male_127,"(11,16]_127",Asian,Non-White
8,127,Male,"(11,16]",Male_127,"(11,16]_127",Black,Non-White
9,127,Male,"(11,16]",Male_127,"(11,16]_127",Mixed,Non-White
10,127,Male,"(11,16]",Male_127,"(11,16]_127",Other,Non-White
11,127,Male,"(16,25]",Male_127,"(16,25]_127",White,White
12,127,Male,"(16,25]",Male_127,"(16,25]_127",Asian,Non-White
13,127,Male,"(16,25]",Male_127,"(16,25]_127",Black,Non-White
14,127,Male,"(16,25]",Male_127,"(16,25]_127",Mixed,Non-White
15,127,Male,"(16,25]",Male_127,"(16,25]_127",Other,Non-White
16,127,Male,"(25,50]",Male_127,"(25,50]_127",White,White
17,127,Male,"(25,50]",Male_127,"(25,50]_127",Asian,Non-White
18,127,Male,"(25,50]",Male_127,"(25,50]_127",Black,Non-White
19,127,Male,"(25,50]",Male_127,"(25,50]_127",Mixed,Non-White
20,127,Male,"(25,50]",Male_127,"(25,50]_127",Other,Non-White
21,127,Male,"(50,70]",Male_127,"(50,70]_127",White,White
22,127,Male,"(50,70]",Male_127,"(50,70]_127",Asian,Non-White
23,127,Male,"(50,70]",Male_127,"(50,70]_127",Black,Non-White
24,127,Male,"(50,70]",Male_127,"(50,70]_127",Mixed,Non-White
25,127,Male,"(50,70]",Male_127,"(50,70]_127",Other,Non-White
26,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",White,White
27,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Asian,Non-White
28,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Black,Non-White
29,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Mixed,Non-White
30,127,Male,"(70, Inf]",Male_127,"(70, Inf]_127",Other,Non-White
31,127,Female,"(1,11]",Female_127,"(1,11]_127",White,White
32,127,Female,"(1,11]",Female_127,"(1,11]_127",Asian,Non-White
33,127,Female,"(1,11]",Female_127,"(1,11]_127",Black,Non-White
34,127,Female,"(1,11]",Female_127,"(1,11]_127",Mixed,Non-White
35,127,Female,"(1,11]",Female_127,"(1,11]_127",Other,Non-White
36,127,Female,"(11,16]",Female_127,"(11,16]_127",White,White
37,127,Female,"(11,16]",Female_127,"(11,16]_127",Asian,Non-White
38,127,Female,"(11,16]",Female_127,"(11,16]_127",Black,Non-White
39,127,Female,"(11,16]",Female_127,"(11,16]_127",Mixed,Non-White
40,127,Female,"(11,16]",Female_127,"(11,16]_127",Other,Non-White
41,127,Female,"(16,25]",Female_127,"(16,25]_127",White,White
42,127,Female,"(16,25]",Female_127,"(16,25]_127",Asian,Non-White
43,127,Female,"(16,25]",Female_127,"(16,25]_127",Black,Non-White
44,127,Female,"(16,25]",Female_127,"(16,25]_127",Mixed,Non-White
45,127,Female,"(16,25]",Female_127,"(16,25]_127",Other,Non-White
46,127,Female,"(25,50]",Female_127,"(25,50]_127",White,White
47,127,Female,"(25,50]",Female_127,"(25,50]_127",Asian,Non-White
48,127,Female,"(25,50]",Female_127,"(25,50]_127",Black,Non-White
49,127,Female,"(25,50]",Female_127,"(25,50]_127",Mixed,Non-White
50,127,Female,"(25,50]",Female_127,"(25,50]_127",Other,Non-White
51,127,Female,"(50,70]",Female_127,"(50,70]_127",White,White
52,127,Female,"(50,70]",Female_127,"(50,70]_127",Asian,Non-White
53,127,Female,"(50,70]",Female_127,"(50,70]_127",Black,Non-White
54,127,Female,"(50,70]",Female_127,"(50,70]_127",Mixed,Non-White
55,127,Female,"(50,70]",Female_127,"(50,70]_127",Other,Non-White
56,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",White,White
57,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Asian,Non-White
58,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Black,Non-White
59,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Mixed,Non-White
60,127,Female,"(70, Inf]",Female_127,"(70, Inf]_127",Other,Non-White
61,128,Male,"(1,11]",Male_128,"(1,11]_128",White,White
62,128,Male,"(1,11]",Male_128,"(1,11]_128",Asian,Non-White
63,128,Male,"(1,11]",Male_128,"(1,11]_128",Black,Non-White
64,128,Male,"(1,11]",Male_128,"(1,11]_128",Mixed,Non-White
65,128,Male,"(1,11]",Male_128,"(1,11]_128",Other,Non-White
66,128,Male,"(11,16]",Male_128,"(11,16]_128",White,White
67,128,Male,"(11,16]",Male_128,"(11,16]_128",Asian,Non-White
68,128,Male,"(11,16]",Male_128,"(11,16]_128",Black,Non-White
69,128,Male,"(11,16]",Male_128,"(11,16]_128",Mixed,Non-White
70,128,Male,"(11,16]",Male_128,"(11,16]_128",Other,Non-White
71,128,Male,"(16,25]",Male_128,"(16,25]_128",White,White
72,128,Male,"(16,25]",Male_128,"(16,25]_128",Asian,Non-White
73,128,Male,"(16,25]",Male_128,"(16,25]_128",Black,Non-White
74,128,Male,"(16,25]",Male_128,"(16,25]_128",Mixed,Non-White
75,128,Male,"(16,25]",Male_128,"(16,25]_128",Other,Non-White
76,128,Male,"(25,50]",Male_128,"(25,50]_128",White,White
77,128,Male,"(25,50]",Male_128,"(25,50]_128",Asian,Non-White
78,128,Male,"(25,50]",Male_128,"(25,50]_128",Black,Non-White
79,128,Male,"(25,50]",Male_128,"(25,50]_128",Mixed,Non-White
80,128,Male,"(25,50]",Male_128,"(25,50]_128",Other,Non-White
81,128,Male,"(50,70]",Male_128,"(50,70]_128",White,White
82,128,Male,"(50,70]",Male_128,"(50,70]_128",Asian,Non-White
83,128,Male,"(50,70]",Male_128,"(50,70]_128",Black,Non-White
84,128,Male,"(50,70]",Male_128,"(50,70]_128",Mixed,Non-White
85,128,Male,"(50,70]",Male_128,"(50,70]_128",Other,Non-White
86,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",White,White
87,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Asian,Non-White
88,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Black,Non-White
89,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Mixed,Non-White
90,128,Male,"(70, Inf]",Male_128,"(70, Inf]_128",Other,Non-White
91,128,Female,"(1,11]",Female_128,"(1,11]_128",White,White
92,128,Female,"(1,11]",Female_128,"(1,11]_128",Asian,Non-White
93,128,Female,"(1,11]",Female_128,"(1,11]_128",Black,Non-White
94,128,Female,"(1,11]",Female_128,"(1,11]_128",Mixed,Non-White
95,128,Female,"(1,11]",Female_128,"(1,11]_128",Other,Non-White
