time,S
1,1
2,0.9999436360743891
3,0.9997280261361403
4,0.9979001271047337
5,0.9917950671470128
6,0.9777229957234916
7,0.9527784779586873
8,0.915205936756894
9,0.870869191259543
10,0.8228567218242129
11,0.7732692898449003
12,0.7236104167703807
13,0.6750061843990246
14,0.6282477585371872
15,0.5840786780752674
16,0.5417853037814444
17,0.5015103177422375
18,0.46358658974061195
19,0.4278593504595846
20,0.3946123552943008
21,0.36375714076090854
22,0.33503000876015415
23,0.30883769136951117
24,0.2850108293697223
25,0.26366111119707153
26,0.24456600034284703
27,0.22726337518497675
28,0.21147348152969883
29,0.19717596647224753
30,0.18417598190093012
31,0.1721282325010448
32,0.16148654305766336
33,0.15179953696164045
34,0.1433054103048515
35,0.1368471540620626
36,0.13145455327050812
37,0.1261312224193117
38,0.1199838044971051
39,0.11251845648923187
40,0.10335044682013357
41,0.09198023761891684
42,0.08088433372943321
43,0.07233435118759252
44,0.06712398095131054
45,0.0631400420826073
46,0.060404371665939746
47,0.05785350794530298
48,0.05590930162485469
49,0.05427599927674084
50,0.05271100733807292
51,0.0511808566248293
52,0.049609471350296974
53,0.04781765679619001
54,0.0456112040551927
55,0.0424833261067138
56,0.03903986449314859
57,0.0361944061149684
58,0.033843473784640137
59,0.03158231022214653
60,0.029816148357236952
61,0.02791423277147347
62,0.02645811900578565
63,0.02539990111682878
64,0.024580393273867858
65,0.023900680408260336
66,0.023356140977106147
67,0.022872498034460835
68,0.022486172377485653
69,0.022179080387794464
70,0.021893134568330308
71,0.021620016675978914
72,0.021389147614470326
73,0.021143334136282256
74,0.02089359038799535
75,0.020647158370127233
76,0.020363802569291437
77,0.020080085419570733
78,0.019781786122173153
79,0.019464926495435287
80,0.019076917423279792
81,0.018657937281128786
82,0.01827103074492816
83,0.017870044834375008
84,0.01742764217467173
85,0.016984404883088645
86,0.016433509273138455
87,0.01587915248353031
88,0.015333902404793183
89,0.014799571436043268
90,0.014309384919648335
91,0.013839773991785726
92,0.013365031925142339
93,0.012872986271518125
94,0.012413353735084696
95,0.01191473015145844
96,0.01144297201455276
97,0.010955593500989277
98,0.01049669099057494
99,0.010036943615658087
100,0.009536887782182653
101,0.009084662858833959
102,0.00863034256032838
103,0.008221740354596751
104,0.007849290935392326
105,0.007501904727104603
106,0.007181402476200026
107,0.006871490033932593
108,0.006597446312374549
109,0.00633008906275211
110,0.006072387297207232
111,0.00578222279900682
112,0.005429728030492044
113,0.005128743161420386
114,0.004821388314365137
115,0.004468357901625341
116,0.0041259179843941745
117,0.003763527064896027
118,0.0034107348275732416
119,0.0031093326198052187
120,0.002845225441206501
121,0.0026312524441523045
122,0.0024193856770695294
123,0.0022292969282384635
124,0.002073953023702347
125,0.0019316994276256023
126,0.0017993876437392968
127,0.0016862477628601096
128,0.0015728603216114319
129,0.0014822637939178266
130,0.001393073853719865
131,0.0013188397492236979
132,0.0012516852469423583
133,0.0011891134628331298
134,0.0011278355672212936
135,0.0010743400119116876
136,0.001020343416964645
137,9.757001206349773e-4
138,9.32589257928385e-4
139,8.926415669944822e-4
140,8.565264732650332e-4
141,8.226875421117488e-4
142,7.89273027563626e-4
143,7.576672614687582e-4
144,7.269674864797591e-4
145,6.974988449985729e-4
146,6.676363600513644e-4
147,6.388641218799388e-4
148,6.092036505824675e-4
149,5.805268475658165e-4
150,5.481551523541397e-4
151,5.225366001429383e-4
152,4.946967168219786e-4
153,4.667675564317471e-4
154,4.4251858945392353e-4
155,4.2086786278380323e-4
156,3.9887855733207765e-4
157,3.7851730924136584e-4
158,3.595518720565574e-4
159,3.4012642777812505e-4
160,3.2070349991453304e-4
161,3.037776534274424e-4
162,2.865837087738686e-4
163,2.7109784600519297e-4
164,2.559834267429258e-4
165,2.4210311033905167e-4
166,2.2607086350029973e-4
167,2.1411982150024446e-4
168,2.0347110265581925e-4
169,1.9204385544824556e-4
170,1.8115365268756324e-4
171,1.7159770100172455e-4
172,1.6199572541883618e-4
173,1.5269445090778592e-4
174,1.4457176896089634e-4
175,1.373877517606151e-4
176,1.301397154385692e-4
177,1.229664460725533e-4
178,1.1661324496996249e-4
179,1.1059752464299287e-4
180,1.044055662391477e-4
181,9.893452806118534e-5
182,9.410310336316746e-5
183,8.957175243084835e-5
184,8.533594384111847e-5
185,8.107306030375682e-5
186,7.669550321603561e-5
187,7.315866484054112e-5
188,6.913870550334612e-5
189,6.581100532474307e-5
190,6.245389302746734e-5
