.group,daynr,sex,age_group,daynr.sex,daynr.age_group,ethnicityg,ethnicity_wo,age2
1,1,Male,"(1,11]",Male_1,"(1,11]_1",White,White,1
2,1,Male,"(1,11]",Male_1,"(1,11]_1",Asian,Non-White,1
3,1,Male,"(1,11]",Male_1,"(1,11]_1",Black,Non-White,1
4,1,Male,"(1,11]",Male_1,"(1,11]_1",Mixed,Non-White,1
5,1,Male,"(1,11]",Male_1,"(1,11]_1",Other,Non-White,1
6,1,Male,"(11,16]",Male_1,"(11,16]_1",White,White,2
7,1,Male,"(11,16]",Male_1,"(11,16]_1",Asian,Non-White,2
8,1,Male,"(11,16]",Male_1,"(11,16]_1",Black,Non-White,2
9,1,Male,"(11,16]",Male_1,"(11,16]_1",Mixed,Non-White,2
10,1,Male,"(11,16]",Male_1,"(11,16]_1",Other,Non-White,2
11,1,Male,"(16,25]",Male_1,"(16,25]_1",White,White,3
12,1,Male,"(16,25]",Male_1,"(16,25]_1",Asian,Non-White,3
13,1,Male,"(16,25]",Male_1,"(16,25]_1",Black,Non-White,3
14,1,Male,"(16,25]",Male_1,"(16,25]_1",Mixed,Non-White,3
15,1,Male,"(16,25]",Male_1,"(16,25]_1",Other,Non-White,3
16,1,Male,"(25,50]",Male_1,"(25,50]_1",White,White,4
17,1,Male,"(25,50]",Male_1,"(25,50]_1",Asian,Non-White,4
18,1,Male,"(25,50]",Male_1,"(25,50]_1",Black,Non-White,4
19,1,Male,"(25,50]",Male_1,"(25,50]_1",Mixed,Non-White,4
20,1,Male,"(25,50]",Male_1,"(25,50]_1",Other,Non-White,4
21,1,Male,"(50,70]",Male_1,"(50,70]_1",White,White,5
22,1,Male,"(50,70]",Male_1,"(50,70]_1",Asian,Non-White,5
23,1,Male,"(50,70]",Male_1,"(50,70]_1",Black,Non-White,5
24,1,Male,"(50,70]",Male_1,"(50,70]_1",Mixed,Non-White,5
25,1,Male,"(50,70]",Male_1,"(50,70]_1",Other,Non-White,5
26,1,Male,"(70, Inf]",Male_1,"(70, Inf]_1",White,White,6
27,1,Male,"(70, Inf]",Male_1,"(70, Inf]_1",Asian,Non-White,6
28,1,Male,"(70, Inf]",Male_1,"(70, Inf]_1",Black,Non-White,6
29,1,Male,"(70, Inf]",Male_1,"(70, Inf]_1",Mixed,Non-White,6
30,1,Male,"(70, Inf]",Male_1,"(70, Inf]_1",Other,Non-White,6
